waist,shoulder,elbow,wrist_angle,wrist_rotate,gripper,left_finger,right_finger
0.0122718,-1.89907,1.70272,0.630466,-0.118117,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89753,1.70272,0.632,-0.118117,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.630466,-0.118117,-0.467864,0.0141768,-0.0141768
0.0122718,-1.89907,1.70272,0.632,-0.118117,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.630466,-0.118117,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.630466,-0.118117,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89753,1.70272,0.630466,-0.118117,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89907,1.70272,0.632,-0.118117,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.630466,-0.118117,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.630466,-0.118117,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.630466,-0.118117,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.630466,-0.118117,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.630466,-0.118117,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.632,-0.118117,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.632,-0.118117,-0.467864,0.0141768,-0.0141768
0.0122718,-1.89907,1.70272,0.632,-0.118117,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.630466,-0.118117,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89753,1.70272,0.630466,-0.118117,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.630466,-0.118117,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.630466,-0.118117,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.630466,-0.118117,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.630466,-0.118117,-0.467864,0.0141768,-0.0141768
0.0122718,-1.89907,1.70272,0.630466,-0.118117,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.632,-0.118117,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.630466,-0.118117,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.630466,-0.118117,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89753,1.70272,0.630466,-0.118117,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.630466,-0.118117,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.630466,-0.118117,-0.467864,0.0141768,-0.0141768
0.0122718,-1.89907,1.70272,0.632,-0.118117,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.630466,-0.118117,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.630466,-0.118117,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.630466,-0.118117,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89907,1.70272,0.630466,-0.118117,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.630466,-0.118117,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.630466,-0.118117,-0.467864,0.0141768,-0.0141768
0.0122718,-1.89907,1.70272,0.630466,-0.118117,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.632,-0.118117,-0.467864,0.0141768,-0.0141768
0.0122718,-1.89907,1.70272,0.630466,-0.118117,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89753,1.70272,0.630466,-0.118117,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.630466,-0.118117,-0.467864,0.0141768,-0.0141768
0.0122718,-1.89907,1.70272,0.630466,-0.118117,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.630466,-0.118117,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.630466,-0.118117,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.632,-0.118117,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.630466,-0.118117,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.630466,-0.118117,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.630466,-0.118117,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.632,-0.118117,-0.467864,0.0141768,-0.0141768
0.0122718,-1.89907,1.70272,0.630466,-0.118117,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.632,-0.118117,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.632,-0.119651,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.632,-0.119651,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.633534,-0.119651,-0.467864,0.0141768,-0.0141768
0.0122718,-1.89907,1.70272,0.633534,-0.119651,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.635068,-0.119651,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.636602,-0.119651,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.636602,-0.119651,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89907,1.70272,0.636602,-0.119651,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.636602,-0.119651,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.636602,-0.118117,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.638136,-0.118117,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70118,0.638136,-0.119651,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.638136,-0.119651,-0.467864,0.0141768,-0.0141768
0.0122718,-1.89907,1.70118,0.638136,-0.119651,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.638136,-0.119651,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70118,0.638136,-0.119651,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.638136,-0.119651,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70118,0.638136,-0.119651,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70118,0.638136,-0.119651,-0.467864,0.0141768,-0.0141768
0.0122718,-1.89907,1.70272,0.638136,-0.119651,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.638136,-0.119651,-0.467864,0.0141768,-0.0141768
0.0122718,-1.89907,1.70272,0.638136,-0.119651,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.638136,-0.119651,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70118,0.638136,-0.119651,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70118,0.638136,-0.119651,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.638136,-0.119651,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70118,0.638136,-0.119651,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.638136,-0.119651,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70118,0.638136,-0.119651,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70118,0.638136,-0.118117,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70118,0.638136,-0.118117,-0.467864,0.0141768,-0.0141768
0.0122718,-1.89907,1.70118,0.638136,-0.118117,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.638136,-0.116583,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.638136,-0.115049,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70118,0.638136,-0.115049,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.636602,-0.115049,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.635068,-0.115049,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.633534,-0.115049,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.632,-0.115049,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.630466,-0.115049,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.630466,-0.115049,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.628932,-0.113515,-0.467864,0.0141768,-0.0141768
0.0138058,-1.89907,1.70272,0.625864,-0.113515,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89907,1.70272,0.62433,-0.113515,-0.46633,0.0141901,-0.0141901
0.0153398,-1.89907,1.70272,0.621262,-0.113515,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89907,1.70272,0.618194,-0.113515,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89907,1.70272,0.615126,-0.113515,-0.46633,0.0141901,-0.0141901
0.0153398,-1.89907,1.70272,0.610524,-0.113515,-0.467864,0.0141768,-0.0141768
0.0153398,-1.89907,1.70272,0.605922,-0.113515,-0.46633,0.0141901,-0.0141901
0.0153398,-1.89907,1.70272,0.599787,-0.113515,-0.46633,0.0141901,-0.0141901
0.0153398,-1.89907,1.70272,0.595185,-0.113515,-0.46633,0.0141901,-0.0141901
0.0153398,-1.89753,1.70272,0.587515,-0.113515,-0.467864,0.0141768,-0.0141768
0.0153398,-1.89907,1.70272,0.582913,-0.113515,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89753,1.70272,0.575243,-0.113515,-0.46633,0.0141901,-0.0141901
0.0153398,-1.89753,1.70425,0.569107,-0.113515,-0.467864,0.0141768,-0.0141768
0.0153398,-1.89753,1.70272,0.564505,-0.113515,-0.46633,0.0141901,-0.0141901
0.0153398,-1.896,1.70272,0.558369,-0.113515,-0.46633,0.0141901,-0.0141901
0.0153398,-1.89447,1.70272,0.552233,-0.113515,-0.46633,0.0141901,-0.0141901
0.0153398,-1.89293,1.70272,0.544563,-0.113515,-0.46633,0.0141901,-0.0141901
0.0153398,-1.8914,1.70272,0.536893,-0.113515,-0.46633,0.0141901,-0.0141901
0.0153398,-1.8914,1.70118,0.529223,-0.113515,-0.46633,0.0141901,-0.0141901
0.0153398,-1.88833,1.70118,0.523087,-0.113515,-0.46633,0.0141901,-0.0141901
0.0153398,-1.8868,1.70118,0.516952,-0.113515,-0.46633,0.0141901,-0.0141901
