waist,shoulder,elbow,wrist_angle,wrist_rotate,gripper,left_finger,right_finger
0.0122718,-1.89907,1.70272,0.630466,-0.0613592,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.630466,-0.0613592,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.630466,-0.0613592,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.632,-0.0613592,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.630466,-0.0613592,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.632,-0.0613592,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.632,-0.0613592,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.632,-0.0613592,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.630466,-0.0613592,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.632,-0.0613592,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.630466,-0.0613592,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.632,-0.0613592,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.630466,-0.0613592,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.632,-0.0613592,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.632,-0.0613592,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.632,-0.0613592,-0.467864,0.0141768,-0.0141768
0.0122718,-1.89907,1.70272,0.632,-0.0613592,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.630466,-0.0613592,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.632,-0.0613592,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.630466,-0.0613592,-0.467864,0.0141768,-0.0141768
0.0122718,-1.89907,1.70272,0.632,-0.0613592,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.630466,-0.0613592,-0.467864,0.0141768,-0.0141768
0.0122718,-1.89907,1.70272,0.632,-0.0613592,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.630466,-0.0613592,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.632,-0.0613592,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.632,-0.0613592,-0.467864,0.0141768,-0.0141768
0.0122718,-1.89907,1.70272,0.630466,-0.0613592,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.630466,-0.0613592,-0.467864,0.0141768,-0.0141768
0.0122718,-1.89907,1.70272,0.630466,-0.0613592,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.630466,-0.0613592,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.630466,-0.0613592,-0.467864,0.0141768,-0.0141768
0.0122718,-1.89907,1.70272,0.632,-0.0613592,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.632,-0.0613592,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.632,-0.0613592,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.632,-0.0613592,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.633534,-0.0613592,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89753,1.70272,0.633534,-0.0613592,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.633534,-0.0613592,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.633534,-0.0613592,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.633534,-0.0613592,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.633534,-0.0613592,-0.467864,0.0141768,-0.0141768
0.0122718,-1.89907,1.70272,0.633534,-0.0613592,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.633534,-0.0613592,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.635068,-0.0613592,-0.467864,0.0141768,-0.0141768
0.0122718,-1.89907,1.70272,0.633534,-0.0613592,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.633534,-0.0613592,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.633534,-0.0613592,-0.467864,0.0141768,-0.0141768
0.0122718,-1.89753,1.70272,0.633534,-0.0613592,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.633534,-0.0613592,-0.467864,0.0141768,-0.0141768
0.0122718,-1.89907,1.70272,0.635068,-0.0613592,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.635068,-0.0613592,-0.467864,0.0141768,-0.0141768
0.0122718,-1.89753,1.70272,0.633534,-0.0613592,-0.467864,0.0141768,-0.0141768
0.0122718,-1.89907,1.70272,0.635068,-0.0613592,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.633534,-0.0613592,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.635068,-0.0613592,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.635068,-0.0613592,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.635068,-0.0613592,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89907,1.70272,0.635068,-0.0613592,-0.467864,0.0141768,-0.0141768
0.0122718,-1.89907,1.70272,0.636602,-0.0613592,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.636602,-0.0628932,-0.467864,0.0141768,-0.0141768
0.0122718,-1.89907,1.70272,0.638136,-0.0628932,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.638136,-0.0613592,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89907,1.70272,0.638136,-0.0628932,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89907,1.70118,0.636602,-0.0628932,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.638136,-0.0613592,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.636602,-0.0613592,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.636602,-0.0613592,-0.467864,0.0141768,-0.0141768
0.0122718,-1.89907,1.70272,0.636602,-0.0613592,-0.467864,0.0141768,-0.0141768
0.0122718,-1.89907,1.70272,0.636602,-0.0598253,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.635068,-0.0598253,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.633534,-0.0598253,-0.467864,0.0141768,-0.0141768
0.0122718,-1.89907,1.70272,0.633534,-0.0598253,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.632,-0.0598253,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.630466,-0.0598253,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.628932,-0.0598253,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.627398,-0.0598253,-0.467864,0.0141768,-0.0141768
0.0122718,-1.89753,1.70272,0.625864,-0.0598253,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.622796,-0.0582913,-0.467864,0.0141768,-0.0141768
0.0122718,-1.89907,1.70272,0.619728,-0.0582913,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70425,0.61666,-0.0582913,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.613592,-0.0582913,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89753,1.70272,0.610524,-0.0582913,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.605922,-0.0582913,-0.467864,0.0141768,-0.0141768
0.0122718,-1.89907,1.70272,0.601321,-0.0582913,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89753,1.70272,0.596719,-0.0582913,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89753,1.70272,0.592117,-0.0582913,-0.467864,0.0141768,-0.0141768
0.0138058,-1.896,1.70272,0.584447,-0.0582913,-0.46633,0.0141901,-0.0141901
0.0138058,-1.896,1.70272,0.578311,-0.0582913,-0.467864,0.0141768,-0.0141768
0.0153398,-1.89447,1.70272,0.572175,-0.0582913,-0.46633,0.0141901,-0.0141901
0.0153398,-1.89293,1.70272,0.564505,-0.0582913,-0.46633,0.0141901,-0.0141901
0.0153398,-1.89293,1.70272,0.558369,-0.0582913,-0.46633,0.0141901,-0.0141901
0.0153398,-1.8914,1.70272,0.550699,-0.0582913,-0.46633,0.0141901,-0.0141901
0.0153398,-1.88833,1.70272,0.543029,-0.0582913,-0.467864,0.0141768,-0.0141768
0.0153398,-1.8868,1.70272,0.532291,-0.0567573,-0.46633,0.0141901,-0.0141901
0.0153398,-1.88373,1.70272,0.526155,-0.0582913,-0.46633,0.0141901,-0.0141901
0.0153398,-1.88066,1.70425,0.516952,-0.0567573,-0.46633,0.0141901,-0.0141901
0.0153398,-1.87606,1.70425,0.507748,-0.0582913,-0.46633,0.0141901,-0.0141901
0.0153398,-1.87146,1.70272,0.498544,-0.0567573,-0.46633,0.0141901,-0.0141901
0.0153398,-1.86685,1.70272,0.490874,-0.0582913,-0.46633,0.0141901,-0.0141901
0.0153398,-1.86379,1.70272,0.480136,-0.0567573,-0.46633,0.0141901,-0.0141901
0.0153398,-1.85765,1.70425,0.470932,-0.0567573,-0.46633,0.0141901,-0.0141901
0.0153398,-1.85151,1.70272,0.460194,-0.0582913,-0.46633,0.0141901,-0.0141901
0.0153398,-1.84385,1.70272,0.45099,-0.0567573,-0.467864,0.0141768,-0.0141768
