waist,shoulder,elbow,wrist_angle,wrist_rotate,gripper,left_finger,right_finger
0.0122718,-1.89907,1.6613,0.799204,0.0276117,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.66284,0.799204,0.0276117,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89753,1.66284,0.799204,0.0276117,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.66284,0.799204,0.0276117,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.66284,0.799204,0.0276117,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.66284,0.799204,0.0276117,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.66284,0.799204,0.0276117,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.66284,0.799204,0.0276117,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.66284,0.799204,0.0276117,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.6613,0.799204,0.0276117,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.66284,0.799204,0.0276117,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.6613,0.799204,0.0276117,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89907,1.66284,0.799204,0.0276117,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89753,1.66284,0.799204,0.0276117,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.6613,0.79767,0.0276117,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.66284,0.799204,0.0276117,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.6613,0.799204,0.0276117,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.6613,0.799204,0.0276117,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.66284,0.799204,0.0276117,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89907,1.66284,0.799204,0.0276117,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.66284,0.799204,0.0276117,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.6613,0.799204,0.0276117,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89907,1.66284,0.799204,0.0276117,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.66284,0.799204,0.0276117,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.6613,0.799204,0.0276117,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.6613,0.799204,0.0276117,-0.46633,0.0141901,-0.0141901
