time,position
0,elbow
0.000664451827242525,1.70272
0.00132890365448505,1.70272
0.001993355481727575,1.70272
0.0026578073089701,1.70272
0.0033222591362126247,1.70272
0.00398671096345515,1.70272
0.004651162790697675,1.70272
0.0053156146179402005,1.70272
0.005980066445182726,1.70272
0.006644518272425251,1.70272
0.007308970099667776,1.70272
0.007973421926910302,1.70272
0.008637873754152826,1.70272
0.00930232558139535,1.70272
0.009966777408637875,1.70272
0.0106312292358804,1.70272
0.011295681063122924,1.70272
0.011960132890365448,1.70272
0.012624584717607973,1.70272
0.013289036544850497,1.70272
0.013953488372093021,1.70272
0.014617940199335546,1.70272
0.01528239202657807,1.70272
0.015946843853820596,1.70272
0.01661129568106312,1.70272
0.017275747508305645,1.70272
0.01794019933554817,1.70272
0.018604651162790694,1.70272
0.01926910299003322,1.70272
0.019933554817275743,1.70272
0.020598006644518267,1.70272
0.02126245847176079,1.70272
0.021926910299003316,1.70272
0.02259136212624584,1.70272
0.023255813953488365,1.70272
0.02392026578073089,1.70272
0.024584717607973414,1.70272
0.025249169435215938,1.70272
0.025913621262458462,1.70272
0.026578073089700987,1.70272
0.02724252491694351,1.70272
0.027906976744186036,1.70272
0.02857142857142856,1.70272
0.029235880398671085,1.70272
0.02990033222591361,1.70272
0.030564784053156133,1.70272
0.031229235880398658,1.70272
0.031893687707641186,1.70272
0.032558139534883714,1.70272
0.03322259136212624,1.70272
0.03388704318936877,1.70272
0.0345514950166113,1.70272
0.035215946843853825,1.70272
0.03588039867109635,1.70272
0.03654485049833888,1.70272
0.03720930232558141,1.70272
0.03787375415282394,1.70272
0.038538205980066464,1.70118
0.03920265780730899,1.70272
0.03986710963455152,1.70272
0.04053156146179405,1.70272
0.041196013289036576,1.70272
0.041860465116279104,1.70272
0.04252491694352163,1.70118
0.04318936877076416,1.70118
0.04385382059800669,1.70272
0.044518272425249215,1.70118
0.04518272425249174,1.70272
0.04584717607973427,1.70272
0.0465116279069768,1.70272
0.04717607973421933,1.70272
0.047840531561461855,1.70272
0.04850498338870438,1.70272
0.04916943521594691,1.70118
0.04983388704318944,1.70272
0.050498338870431966,1.70272
0.051162790697674494,1.70272
0.05182724252491702,1.70272
0.05249169435215955,1.70118
0.05315614617940208,1.70272
0.053820598006644606,1.70272
0.054485049833887134,1.70272
0.05514950166112966,1.70272
0.05581395348837219,1.70118
0.05647840531561472,1.70118
0.057142857142857245,1.70272
0.05780730897009977,1.70118
0.0584717607973423,1.70272
0.05913621262458483,1.70272
0.05980066445182736,1.70272
0.060465116279069885,1.70272
0.06112956810631241,1.70272
0.06179401993355494,1.70272
0.06245847176079747,1.70272
0.06312292358803999,1.70272
0.06378737541528251,1.70272
0.06445182724252503,1.70272
0.06511627906976755,1.70272
0.06578073089701007,1.70425
0.0664451827242526,1.70425
0.06710963455149511,1.70272
0.06777408637873764,1.70272
0.06843853820598016,1.70272
0.06910299003322268,1.70272
0.0697674418604652,1.70425
0.07043189368770772,1.70272
0.07109634551495024,1.70272
0.07176079734219276,1.70272
0.07242524916943528,1.70272
0.0730897009966778,1.70272
0.07375415282392032,1.70272
0.07441860465116285,1.70118
0.07508305647840537,1.70118
0.07574750830564789,1.69965
0.07641196013289041,1.69965
0.07707641196013293,1.69812
0.07774086378737545,1.69965
0.07840531561461797,1.69812
0.07906976744186049,1.69812
0.07973421926910301,1.69658
0.08039867109634553,1.69658
0.08106312292358805,1.69658
0.08172757475083058,1.69505
0.0823920265780731,1.69351
0.08305647840531562,1.69045
0.08372093023255814,1.68891
0.08438538205980066,1.68738
0.08504983388704318,1.68278
0.0857142857142857,1.68124
0.08637873754152822,1.67664
0.08704318936877074,1.67204
0.08770764119601326,1.66897
0.08837209302325578,1.66284
0.0890365448504983,1.65823
0.08970099667774083,1.6521
0.09036544850498335,1.64596
0.09102990033222587,1.63829
0.09169435215946839,1.63216
0.09235880398671091,1.62449
0.09302325581395343,1.61682
0.09368770764119595,1.60915
0.09435215946843847,1.59994
0.095016611295681,1.59074
0.09568106312292352,1.58307
0.09634551495016604,1.57386
0.09700996677740856,1.56466
0.09767441860465108,1.55392
0.0983388704318936,1.54625
0.09900332225913612,1.53551
0.09966777408637864,1.52784
0.10033222591362116,1.51864
0.10099667774086368,1.50944
0.1016611295681062,1.50023
0.10232558139534872,1.49256
0.10299003322259125,1.48336
0.10365448504983377,1.47569
0.10431893687707629,1.46649
0.10498338870431881,1.45882
0.10564784053156133,1.44961
0.10631229235880385,1.44041
0.10697674418604637,1.43274
0.10764119601328889,1.42353
0.10830564784053141,1.41586
0.10897009966777393,1.40666
0.10963455149501646,1.39899
0.11029900332225898,1.38825
0.1109634551495015,1.37905
0.11162790697674402,1.37138
0.11229235880398654,1.36064
0.11295681063122906,1.35297
0.11362126245847158,1.34684
0.1142857142857141,1.33763
0.11495016611295662,1.32996
0.11561461794019914,1.32229
0.11627906976744166,1.31616
0.11694352159468419,1.30849
0.1176079734219267,1.30235
0.11827242524916923,1.29775
0.11893687707641175,1.29008
0.11960132890365427,1.28548
0.12026578073089679,1.27934
0.12093023255813931,1.2732
0.12159468438538183,1.2686
0.12225913621262435,1.264
0.12292358803986687,1.25786
0.1235880398671094,1.25326
0.12425249169435192,1.24713
0.12491694352159444,1.24252
0.12558139534883697,1.23792
0.1262458471760795,1.23179
0.12691029900332204,1.22872
0.12757475083056458,1.22412
0.1282392026578071,1.21951
0.12890365448504965,1.21338
0.12956810631229218,1.20878
0.13023255813953472,1.20417
0.13089700996677725,1.19957
0.13156146179401979,1.19497
0.13222591362126232,1.19037
