time,average position
0.0004906771344455348,0.6487204
0.0009813542688910696,0.6488738
0.0014720314033366045,0.6490272
0.001962708537782139,0.6490272
0.002453385672227674,0.6491806
0.0029440628066732086,0.6488738
0.0034347399411187433,0.6487204
0.003925417075564278,0.6487204
0.004416094210009813,0.6488738000000001
0.004906771344455348,0.6487204
0.0053974484789008825,0.6487204
0.005888125613346417,0.6487204
0.006378802747791952,0.648567
0.006869479882237487,0.648567
0.007360157016683021,0.6487204
0.007850834151128557,0.6487204
0.008341511285574092,0.6487204
0.008832188420019626,0.6484136
0.009322865554465161,0.6479534
0.009813542688910696,0.6478
0.01030421982335623,0.6477999999999999
0.010794896957801765,0.6477999999999999
0.0112855740922473,0.6476466000000001
0.011776251226692834,0.6467262
0.012266928361138369,0.6465728000000001
0.012757605495583904,0.6459592
0.013248282630029438,0.6454989999999999
0.013738959764474973,0.6451922
0.014229636898920508,0.6448853999999999
0.014720314033366043,0.6442719
0.015210991167811577,0.6436583
0.015701668302257114,0.6431981
0.01619234543670265,0.6422777
0.016683022571148187,0.6418174999999999
0.017173699705593723,0.6408971
0.01766437684003926,0.6404369
0.018155053974484796,0.6402835
0.018645731108930332,0.6392097
0.01913640824337587,0.6385961
0.019627085377821405,0.6382893000000001
0.02011776251226694,0.6376757000000001
0.020608439646712478,0.6367553
0.021099116781158014,0.6364485
0.02158979391560355,0.6356815
0.022080471050049087,0.6346076999999999
0.022571148184494624,0.634301
0.02306182531894016,0.6336874000000001
0.023552502453385697,0.632767
0.024043179587831233,0.6318466
0.02453385672227677,0.6315398000000001
0.025024533856722306,0.6307729
0.025515210991167842,0.6296991000000001
0.02600588812561338,0.6292389
0.026496565260058915,0.6283185
0.02698724239450445,0.6275515
0.027477919528949988,0.6260175
0.027968596663395524,0.6258641
0.02845927379784106,0.6249437
0.028949950932286597,0.6237164999999999
0.029440628066732134,0.6234097000000001
0.02993130520117767,0.6224893
0.030421982335623207,0.6212621
0.030912659470068743,0.6206484999999999
0.031403336604514276,0.6200349
0.03189401373895981,0.6191145
0.03238469087340534,0.6189612
0.032875368007850875,0.6181942
0.03336604514229641,0.6175806
0.03385672227674194,0.6171204
0.034347399411187474,0.6161999999999999
0.03483807654563301,0.6157398
0.03532875368007854,0.6154330000000001
0.03581943081452407,0.6140524999999999
0.036310107948969605,0.6135923
0.03680078508341514,0.6128252999999999
0.03729146221786067,0.6125185
0.037782139352306204,0.6119049
0.03827281648675174,0.6114447
0.03876349362119727,0.6111379
0.0392541707556428,0.6103708999999999
0.039744847890088336,0.6094505
0.04023552502453387,0.6088368999999999
0.0407262021589794,0.6083767
0.041216879293424935,0.6074563000000001
0.04170755642787047,0.6063824999999999
0.042198233562316,0.6057688999999999
0.042688910696761534,0.6048486
0.04317958783120707,0.6033147
0.0436702649656526,0.6028545000000001
0.04416094210009813,0.6013205
0.044651619234543666,0.5997865
0.0451422963689892,0.5982525
0.04563297350343473,0.5968718999999999
0.046123650637880265,0.5954913999999999
0.0466143277723258,0.5942642
0.04710500490677133,0.5919631999999999
0.047595682041216864,0.5905826
0.048086359175662396,0.5885884
0.04857703631010793,0.586901
0.04906771344455346,0.5842932
0.049558390578998995,0.5821455999999999
0.05004906771344453,0.5798445999999999
0.05053974484789006,0.5776969999999999
0.051030421982335594,0.5752425999999999
0.05152109911678113,0.5727884
0.05201177625122666,0.570334
0.05250245338567219,0.5678797
0.052993130520117726,0.5654253
0.05348380765456326,0.5625108
0.05397448478900879,0.5603632000000001
0.054465161923454325,0.5577554
0.05495583905789986,0.5551477
0.05544651619234539,0.5520797999999999
0.055937193326790924,0.5493187
0.05642787046123646,0.5471711
0.05691854759568199,0.5442565
0.05740922473012752,0.5410351
0.057899901864573056,0.5385807
0.05839057899901859,0.5352059
0.05888125613346412,0.5322914
0.059371933267909655,0.5289166
0.05986261040235519,0.52569528
0.06035328753680072,0.5218602999999999
0.06084396467124625,0.51848552
0.061334641805691786,0.51511073
0.06182531894013732,0.51158265
0.06231599607458285,0.50744086
0.06280667320902839,0.50375928
0.06329735034347392,0.49992439400000005
0.06378802747791945,0.496089508
0.06427870461236498,0.4922546199999999
0.06476938174681052,0.48795944
0.06526005888125605,0.48412445000000004
0.06575073601570158,0.47936907
0.06624141315014712,0.47568749000000005
0.06673209028459265,0.4707787
0.06722276741903818,0.46679032000000004
0.06771344455348371,0.4620349
0.06820412168792925,0.4574330000000001
0.06869479882237478,0.4526779
0.06918547595682031,0.44807589999999997
0.06967615309126585,0.4433205000000001
0.07016683022571138,0.4388719
0.07065750736015691,0.4341165
0.07114818449460245,0.4292077999999999
0.07163886162904798,0.4241456
0.07212953876349351,0.41985039999999996
0.07262021589793904,0.41448149999999995
0.07311089303238458,0.4098797
0.07360157016683011,0.40481749999999994
0.07409224730127564,0.3999088
0.07458292443572118,0.3953068
0.07507360157016671,0.3902446
0.07556427870461224,0.3859494
0.07605495583905778,0.3810407
0.07654563297350331,0.3764389
0.07703631010794884,0.3715303
0.07752698724239437,0.36662160000000005
0.07801766437683991,0.36171278
0.07850834151128544,0.3574176
0.07899901864573097,0.35266221000000003
0.0794896957801765,0.34836703
0.07998037291462204,0.34361164
0.08047105004906757,0.33946995
0.0809617271835131,0.33471457
0.08145240431795864,0.33011268
0.08194308145240417,0.325817492
0.0824337585868497,0.320755306
0.08292443572129524,0.31630672
0.08341511285574077,0.31185823
0.0839057899901863,0.30618244
0.08439646712463184,0.30142706
0.08488714425907737,0.29651837
0.0853778213935229,0.29130278000000004
0.08586849852796843,0.28654759999999996
